fecha,SON,MUL,BCS,CHIH,JAL,GUE,TAM,PUE,VER,OAX,CHIA,YUC
2019-09-12 11:00:00,5.405279423730053e-11,5.432114703934015e-10,4.924384881250484e-09,4.665199527819843e-14,0.0,0.0,0.4265717871071565,3.355046500742932e-13,2.233331100333521e-10,0.0,6.084566764708608e-12,9.18914104418353
2019-09-12 12:00:00,6.001136997999507e-11,5.971179521881665e-10,5.304976141788771e-09,4.500931938812102e-14,0.0,0.0,0.4547416221047989,3.226863661013551e-13,2.2954759657341055e-10,0.0,6.2550625059263606e-12,9.452371647011706
2019-09-12 13:00:00,6.196918772402328e-11,6.128752314820208e-10,5.157399938722905e-09,4.2545305553004904e-14,0.0,0.0,0.4285839181784166,3.0373759848918577e-13,2.1867224512830823e-10,0.0,5.498487654272577e-12,8.590889674119499
2019-09-12 14:00:00,6.026673751182484e-11,5.838486643617628e-10,4.466121934888058e-09,3.860288341681912e-14,0.0,0.0,0.36922605157624155,2.524644625974333e-13,1.9536792060308886e-10,0.0,4.3369854172266246e-12,7.466177098399119
2019-09-12 15:00:00,5.481889683278983e-11,5.175022252297443e-10,3.4097870076797515e-09,2.923963084337789e-14,0.0,0.0,0.2957832674752453,1.6608037495371992e-13,1.5691578513647695e-10,0.0,2.9730194874845912e-12,4.85780112491994
2019-09-12 16:00:00,4.554054317630832e-11,4.163239055534161e-10,2.3146162375593757e-09,1.9876378269936655e-14,0.0,0.0,0.18914032069845618,9.307188797742023e-14,1.0564627118099437e-10,0.0,1.5024937194814596e-12,2.6323060282817408
2019-09-12 17:00:00,3.192094147872079e-11,2.7948437484362797e-10,1.2738156475158982e-09,1.0020322929472198e-14,0.0,0.0,0.08149130838603698,3.399631836300978e-14,4.466662200667042e-11,0.0,3.942714015660568e-13,0.430740986446103
2019-09-12 18:00:00,1.4811316846126443e-11,1.2688756483998537e-10,4.4272860919759876e-10,2.2997462461083735e-15,0.0,0.0,0.00503032767815043,1.1146333889511403e-15,1.942027043768279e-12,0.0,0.0,0.0
2019-09-12 19:00:00,1.4470826803686757e-12,9.951965869802776e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-12 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-12 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-12 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-12 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-13 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-13 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-13 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-13 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-13 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-13 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.004024262142520344,2.2292667779022806e-15,2.3304324525219347e-12,0.0,1.2787180591331573e-13,0.5743213152614707
2019-09-13 07:00:00,2.5536753182976626e-13,3.317321956600925e-12,1.165075287362102e-10,5.9136332042786735e-15,0.0,0.0,0.11267933999056964,6.632068664259284e-14,4.311300037165579e-11,0.0,8.737906737409909e-13,2.2972852610458827
2019-09-13 08:00:00,1.174690646416925e-11,8.459170989332358e-11,1.203911130274172e-09,2.7596954953300482e-14,0.0,0.0,0.2736498256913834,1.7722670884323132e-13,9.554773055339932e-11,0.0,1.7475813474819817e-12,4.474920248078959
2019-09-13 09:00:00,2.8941653607373514e-11,2.0899128326585827e-10,2.4777267777900704e-09,5.256562848247711e-14,0.0,0.0,0.4295899837140467,2.7419981368198054e-13,1.4099116337757704e-10,0.0,2.472188247657438e-12,6.126094029455688
2019-09-13 10:00:00,4.324223538984042e-11,3.159749163662381e-10,3.5728975479104462e-09,7.835563995669243e-14,0.0,0.0,0.5241601440632748,3.3383269999086653e-13,1.7788967720917436e-10,0.0,3.3140109699200994e-12,7.992638304055468
2019-09-13 11:00:00,5.303132410998146e-11,3.8066269451995614e-10,4.41175175481116e-09,1.0118883482876842e-13,0.0,0.0,0.5513239135252872,3.3271806660191536e-13,2.039128395956693e-10,0.0,3.5271306464422927e-12,9.093420824973286
2019-09-13 12:00:00,5.890477734206609e-11,4.1798256653171654e-10,5.056426747151523e-09,1.1170196052526385e-13,0.0,0.0,0.5452875203115066,2.9649248146100335e-13,2.1867224512830823e-10,0.0,3.5377866302684023e-12,9.595951975827074
2019-09-13 13:00:00,6.077747257548437e-11,4.503264556085756e-10,5.266140298876701e-09,1.0775953838907807e-13,0.0,0.0,0.5291904717414253,2.1958277762337466e-13,2.136229748145107e-10,0.0,2.9943314551368104e-12,7.7054776464247325
2019-09-13 14:00:00,5.916014487389586e-11,4.6442507392412955e-10,5.095262590063593e-09,8.591194905104852e-14,0.0,0.0,0.48794178478059175,1.7276817528742675e-13,1.8954183947178402e-10,0.0,2.5041561991357662e-12,6.006443755442882
2019-09-13 15:00:00,5.405279423730053e-11,4.453504726736742e-10,4.419518923393574e-09,5.913633204278674e-14,0.0,0.0,0.41952932835774587,1.3208405659071013e-13,1.5613897431896964e-10,0.0,1.8967651210475168e-12,4.187759590448223
2019-09-13 16:00:00,4.4859563091428946e-11,3.87297338433158e-10,3.4719243563390638e-09,3.843861582781139e-14,0.0,0.0,0.3128863815809568,8.638408764371337e-14,1.1069554149479188e-10,0.0,1.0655983826109644e-12,1.962264493810025
2019-09-13 17:00:00,3.175069645750094e-11,2.786550443544777e-10,2.1903415402407513e-09,2.201185692703729e-14,0.0,0.0,0.15292196141577308,3.6782901835387635e-14,4.855067609420697e-11,0.0,3.1967951478328933e-13,0.3110907124332966
